date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-10-18,Suvlaki,Cuketova polievka Tomato soup,Pecene rybacie filety s cerstvymi paradajkami cesnakom olivovy olej,Zapecene lasagne s mletym masom syrovy besamel,Dusene kuracie maso so sampinonmi vinova omacka,Porova omeleta so susenymi paradajkami
2019-10-18,Svadby a Kari,Kalerabovo hraskova polievka so psenom,Kuracie kari v omacke z korenovej zeleniny s hokkaido tekvicou cuketou a zemiakmi brusnicove catni,Thajske cervene VEGAN kari s karfiolom paradajkami tekvicou a paprikami zelerovo jablkovy salat s vlasskymi orechmi v kari v salate,,
2019-10-18,U Hasica,Fazulova,Kuracie sote hungaria ryza,Vyprazany udeny syr zemiaky tat omacka,Bryndzove halusky,
2019-10-18,U Majky,Kapustova,Bravc kare na jorc medovej omacke,Vyprazane rybie file,Domace pecene buchty,
2019-10-18,Veda,Tomato dhania shorba,Sampiony a cibula v indickej omacke,Zemiaky fazulove struky a paradajky v indickej omacke,Biela tekvica a cicer v indickej spenatovej omacke,Farebna paprika a fazula s indickym drvenym korenim
2019-10-18,Veglife,Kapustnica s udenym tofu,Francuzske zemiaky s tofu,Jacmenne krupky s grilovanou zeleninou a pesto rosso,Seitan vindaloo ryza natural,Zelerovo mrkvove placky na cervenej sosovici zemiakove pyre
2019-10-21,Alzbetka,Slepaci vyvar s rezancami,Karfiolova kremova so syrom,Kuraci rezen v parizskom cesticku pecene zemiaky na rozmarine pikantny dresing ml,Kolozvarska kapusta calamada,Miesany listovy salat s udenym lososom citronovo bylinkovy dressing hrianka
2019-10-21,Bioland,Cviklova s jarnou cibulkou,Tempehovy gyros s pecenymi zemiakmi a domacim sojovym dresingom,Domace batatove kari na kokosovom mlieku s pak choi salatom,Raw bananova torta,
2019-10-21,Bistro Mnamka,Brokolicova kremova krutony,Kuracie rizoto z listoveho spenatu a gorgonzoly cerstvy baby spenat parmezan,Vyprazana cuketa v bylinkovej struhanke varene zemiaky s vnatkou bylinkovo smotanovy dresing,Salat s vyprazanymi kuracimi nugetkami cesnakovy dresing pizza chieb,Domace parene buchty s cokoladou a kokosom
2019-10-21,BlueBear,Frankfurtska polievka,Pecene bravcove maso s kapustou a kysnutou knedlou,Grilovane morcacie medailonky so spagetami paradajkovou salsou a parmezanom,Zeleninovy wellington na salate s cervenou cibulkou redkovkou a quinoou,TYZDENNE Pecena bravcova panenka s maslovymi sampinonmi bylinkami salotkou a restovanou polentou
2019-10-21,Centr klub,Tekvicova kremova s opecenym chlebom,Bryndzove halusky s vypecenou slaninou a mladou cibulou,Kuracie prsia so sampinonovym ragu slovenska ryza uhorkovy salat,Chilli con carne zemiakova kasa listovy salat,
2019-10-21,Ceska piv,Kulajda,Kuraci steak s nivovou omackou a volskym okom ryza,Bravcovy platok s hribovou omackou a opekanymi zemiakmi mix salat,Zeleninovy salat s grilovanym encianom hroznom a orechmi toast,XXL Vyprazany bravcovy rezen s varenymi zemiakmi a kyslou uhorkou
2019-10-21,Dilema,Cesnakovy krem s krutonmi,Sable mece marinovane kuracie maso na grile hranolky domaca tatarska omacka,Fazulovy privarok s fasirkou a chlebom,Bryndzove pirohy s kyslou smotanou a udenou slaninkou,Grilovany steak z lososa s bylinkovym maslo na spenatovych zemiakoch
2019-10-21,Jedla lenka,Sosovicova polievka s udeninou,Karfiolova polievka,Hovadzi znojemsky gulas ryza,Zemiakove gule s udenym masom kapusta,Vyprazane vykostene kuracie stehno rezen varene zemiaky
2019-10-21,Kasa,Hrstkova polievka,Penne s bazalkovym pestom sus paradajkami a olivami,Kuracie stehienka na azijsky sposob,,
2019-10-21,Mestiansky piv,Paradajkova so syrom,Kuracie rezanceky na kari dusena ryza,Vyprazany karfiol varene zemiaky tatarska omacka,,
