date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-02-05,Bistro Mnamka,"Hraskova kremova s pecenou klobasou (1,7)","Kuracie vyprazane plnene nivou, zemiakova kasa, salat (1,7)","Pecena krkovicka, dusena biela kapusta, domaca parena knedla (1,3,7)","Salat caprese , bazalkovy dresing, pizza chlieb (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-05,BlueBear,Sosovicova s udenou paprikou,Kuraci paprikas s haluskami a kyslou uhorkou,Jahnaci gyros so zeleninou a divou ryzou,Marinovany zeleninovy spiz s cicerovym pyre a valerianom,
2019-02-05,Dilema,Fazulova s masom a klobaskou &#8211;,"Menu  Vyprazany kuraci rezen v mandlovej struhanke, 0.5 ryza 0.5 hranolky, salat /1,3,7/","Menu 2 Hovadzie sote so salotkou a sampinonmi, dusena ryza","Menu 3 Bryndzove halusky so slaninkou /1,7","Menu 4 150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-05,Kasa 3,Indicka sosovicova,Zapekany karfiol s brokolicou a zemiakmi (7),Morka na hrasku s mrkvou,,
2019-02-05,Mestiansky piv.,"Paradajkova so syrom1, 7","Kuraci pfeffer steak s dusenou ryzou a uhorkovym salatom1,7,10","Zemiakovy privarok so stefanskou sekanou1, 3, 7",,
2019-02-05,Veglife,"Fazulova polievka s korenovou zeleninou (B,V)","Cviklove fasirky, indicke zemiaky","Cicerovo-bananove kari so spenatom, pecene zemiaky B,V,P","Spagetova torta s nivou, tofu, sampinonmi a paradajkami","Hlivovo-sampinonovy gulas, ryza natural B,V"
2019-02-06,Bistro Mnamka,"Slepaci vyvar s masom a zeleninou (1,3,7,9)","Penne Quattro formaggi s kuracim masom (1,7)","Bravcovy steak s fazulkami na slaninke, domace americke zemiaky","Salat s grilovanym tofu, balzamikovo-medovy dresing , pizza chlieb (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-06,BlueBear,Kukuricny krem s hraskom,Ryzovy nakyp s hrozienkami,Grilovany bravcovy steak na hribovom ragu s dusenou ryzou ( menu grilovane &#8211;  gril Big Green Egg   ),Peceny zeleninovy wellington na listovom salate s quinoou,
2019-02-06,Dilema,Porkova s mrkvou a kalerabom,"Menu 1 Marinovany kuraci steak s volskym okom, 0.5 ryza 0.5 opekane zemiaky, coleslaw salat /7/","Menu 2 Segedinsky gulas, parena knedla /1,7/","Menu 3 Domace sisky s jahodovou penou /1,3,7/","Menu 4 150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-06,Kasa 3,Paradajkova (9),Zeleninove curry s kokosovym mliekom (9),"Hovadzie na mongolsky sposob (6, 11)",,
2019-02-06,Mestiansky piv.,"Hovadzi vyvar s celestinskymi rezancami1,3,7,9","Hovadzi madarsky gulas, domaca kysnuta knedla 1,3,7","Vyprazany syr s americkymi zemiakmi a tatarskou omackou1,3,7",,
2019-02-06,Veglife,"Tom-Kha -Thajska polievka (B,V,P)","Cicerovy falafel, petrzlenove zemiaky B","Seitan na cervenom kari s porom a sampinonmi, ryza natural V","Tekvicovo-gastanove psenoto so semiackami B,V","Karfiolovo-mrkovovy nakyp, pecene zemiaky"
2019-02-07,Bistro Mnamka,Frankfurtska s parkom (1),"Pecene kuracie stehno, dusena ryza, broskynovy kompot","Tekvicovo-cuketove placky, zemiakova kasa, uhorkovy salat (1,3,7)","Caesar salat, krutony (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-07,BlueBear,Hrachova s pecenym cesnakovym krutonom,Bravcovy cernohorsky rezen so syrom a pecenymi zemiakmi,Kuraci steak na maslovych pretlacanych zemiakoch so smotanovym porom,Brokolicove rizoto s kukuricou a bylinkovym pestom,
2019-02-07,Dilema,Kapustnica /7/ &#8211;,"Kuracia rolka plnena spenatom a mozzarellou v listkovom cesticku, dusena ryza, cesnakovy dip /1,7/","Bravcove dusene stehno, tarhona, kapustovy salat /1/","Vyprazana Aljasska treska, majonezovy salat /1,3,7/","150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7"
2019-02-07,Kasa 3,Zemiakova na paprike,"Sosovicove ragu s tahini a spenatom (9, 11)",Kuracie meatballs v paradajkovej omacke (9),,
2019-02-07,Mestiansky piv.,"Luskova na kyslo1, 7","Kuracie sote v zemiakovej placke so syrom a kapustovym salatom1,3,7","Bravcove rizoto s hribami, rukolou a syrom7",,
2019-02-07,Veglife,"Kelova polievka s miso pastou (B,V)","Robi rezance na sezame a zelenej fazulke, ryza natural V","Zimny ratatouille, pecene zemiaky B,V","Bataty v arasidovej omacke, ryza natural B,V","Karfiolovy rezen so syrom, pazitkove zemiaky"
2019-02-08,Bistro Mnamka,ZAVRETE,"NA","NA","NA","NA"
2019-02-08,BlueBear,Spenatova so zemiakmi,Bravcovy cernohorsky rezen so syrom a pecenymi zemiakmi,Morcacie rezanceky na cinsky sposob s ryzovymi rezancami,Zapekany plneny zemiak s bryndzou a mladou cibulkou,
2019-02-08,Dilema,"Hraskovy krem s krutonmi /1,7/","Kuraci rezen v cesticku plneny sunkou a nivou, dusena ryza, coleslaw salat /1,3,7/","Kelovy privarok s grilovanou klobaskou, chlieb /1/","Vyprazany syr, hranolky, tatarska omacka /1,3,7/","150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-08,Kasa 3,Zeleninovy krem (9),Falafelove placky (11),Bravcovy segedin (7),,
2019-02-08,Mestiansky piv.,Minestrone,"Pecene bravcove pliecko s dusenou cervenou kapustou a kysnutou knedlou1,3,7","Vyprazane rybie file s varenymi zemiakmi s bylinkovym dressingom1,3,4,7",,
2019-02-08,Veglife,"Kukuricova TexMex polievka (B,V)","Hrachovy dhal, ryza basmati B,V","Nivove prazienky, zemiakove pyre s maslom",Fregola sarda s paradajkami,"Grilovane tofu na spenate, pecene zemiaky B,V"
2019-02-11,Bistro Mnamka,"Jarna zeleninova s haluskami (1,7)","Kuracie rizoto so safranom, susene paradajky , parmezan (7)","Vyprazane rybie file, slovensky zemiakovy salat (1,3,7)","Salat s kuracimi nugetkami v corn flakes, cesnakovy dresing, pizza chlieb (1,3,7)","Tirolska parena buchta, poliata maslom, orechami a bielou cokoladou (1,3,7)"
2019-02-11,BlueBear,Mrkvovy krem,Plneny kapustny list s paradajkovou omackou a varenymi zemiakmi,Bravcove rezanceky s hraskom a dusenou ryzou,Kremove kukuricne psenoto s rukolou,
2019-02-11,Dilema,"Cesnakovy krem s krutonmi /1,7/","Kuraci steak pfeffer s bylinkovym maslom, 0.5 ryza 0.5 hranolky, salat /7/","Masove gulky v paradajkovej omacke, varene zemiaky s vnatkou /3/","Spagety Carbonara so struhanym syrom a cerstvym spenatom /1,3,7/","180g Vyprazany kuraci Cordon Bleu, zemiaky na grile, tatarska omacka /1,3,7/"
2019-02-11,Kasa 3,Spenatova polievka,Cicerovy Dahl,Krkovicka na horcici (10),,
2019-02-11,Mestiansky piv.,"Francuzska cibulacka so syrom a krutonmi1,7","Hovadzi stroganov, dusena ryza1,7","Vyprazany karfiol, varene zemiaky, tatarska omacka1,3,7",,
2019-02-11,Veglife,"Zeleninova polievka so psenom (B,V)","Pohankove gulky v paradajkovej omacke, pecene zemiaky B,V","Spenatovy nakyp s fetou, zemiakove pyre s maslom","Cviklove ragu s kyslou kapustou na majorane, ryza natural B,V",Tekvicove krupoto so spaldou a pecenymi rajcinami
2019-02-12,Bistro Mnamka,"Sosovicova so zeleninou (1,3,7)","Kuraci gyros, pol ryza pol domace hranolky, tzatziky salat (7)","Francuzske zemiaky, kysle uhorky (3,7)","Salat s vyprazanou mozzarellou, bylinkovo majonezovy dresing, pizza chlieb (1,3,7)","Tirolska parena buchta, poliata maslom, orechami a bielou cokoladou (1,3,7)"
2019-02-12,BlueBear,Paradajkova minestrone polievka,Plneny kapustny list s paradajkovou omackou a varenymi zemiakmi,"Vyprazany kuraci rezen plneny modrym syrom, pretlacane zemiaky","Miesany listovy salat s tuniakom, kukuricou a vajickom, medovo horcicovy dip",
2019-02-12,Dilema,Kelova so zemiakmi a parkom 1,"Zapekane kuracie prsia s cuketou, paradajkou a hermelinom, bazalkova omacka, 0.5 ryza 0.5 hranolky 7","Pecena krkovicka na pive a cibulke, rozmarinove zemiaky, kysla uhorka","Lokse plnene kuracou pecienkou s dusenou cervenou kapustou 1,3,7","180g Vyprazany kuraci Cordon Bleu, zemiaky na grile, tatarska omacka 1,3,7"
2019-02-12,Kasa 3,Kelova polievka,Hlivovy gulas,Morcaci Stroganoff,,
2019-02-12,Mestiansky piv.,Kelova so zemiakmi1,"Zivanska krkovicka, opekane zemiaky, calamada1,3","Sosovicovy privarok, peceny wurst, volske oko1,3,7",,
2019-02-12,Veglife,"Hokaido polievka (B,V)","Zeleninove tajine, petrzlenove zemiaky B,V","Kokosovo-limetkova basmati ryza s mrkvovymi stripsami B,V",Bolonske lasagne,"Seitan ragu na korenovej zelenine, ryza natural V"
2019-02-13,Bistro Mnamka,"Hovadzi vyvar so zeleninou (1,3,7,9)","Vyprazane kuracie nugetky v corn flakes, zemiakova kasa s kukuricou, domaca tatarska omacka (1,3,7)","Pecena krvavnica, jaternica, varene zemiaky, kysla priloha","Salat s tuniakom, cervena cibula, olivy, olivovy olej, pizza chlieb (1,3,4,7)","Tirolska parena buchta, poliata maslom, orechami a bielou cokoladou (1,3,7)"
2019-02-13,BlueBear,Hrstkova s petrzlenom,Pecene buchty plnene lekvarom so sladkou cukrovou posypkou,Grilovane bravcove rebierko s pecenymi zemiakmi a kyslou oblohou,Paradajkove cestoviny s bazalkou a parmezanom,
2019-02-13,Dilema,Sosovicova so zeleninou,"Vyprazany kuraci rezen v sezame, 0.5 ryza 0.5 opekane zemiaky, coleslaw salat 7","Hovadzie varene s koprovou omackou, parena knedla 1,7","Tvarohovo &#8211; jablkova zemlovka 1,7","180g Vyprazany kuraci Cordon Bleu, zemiaky na grile, tatarska omacka 1,3,7"
2019-02-13,Kasa 3,Zelerovy krem (9),Zemiakovo bylinkova harula,Hovadzi madarsky gulas,,
2019-02-13,Mestiansky piv.,"Hovadzi vyvar s cestovinou1,3,7,9","Hovadzie varene stehno, chrenova omacka, knedla1,3,7","Granatiersky pochod, kysla uhorka1,3",,
2019-02-13,Veglife,"Zemiakova polievka na kyslo (B,V)","Indicky dhal s batatmi, jazminova ryza B,V","Hubovy bourguignon, ryza natural B,V","Zavin s brokolicou a syrom, pecene zemiaky","Celozrnne fusilli s grilovanou zeleninou, susenymi paradajkami a parmezanom"
2019-02-14,Bistro Mnamka,Fazulova na kyslo,Kuracie sote na sedliacky sposob dusena ryza,Pulled pork s bbq omackou domace americke zemiaky coleslaw salat,Grecky salat pizza chlieb,Tirolska parena buchta poliata maslom orechami a bielou cokoladou
2019-02-14,BlueBear,Kulajda,Vyprazany syr s varenymi zemiakmi a tatarskou omackou,Mexicky gulas s fazulou a kukuricou parena knedla,Zapekany brokolicovo zemiakovy cake s repovymi listami,
2019-02-14,Dilema,Luskova na kyslo,Vykostene kuracie stehienka na grile so syrovou omackou hraskova ryza salat,Hovadzi ROASTBEEF hranolky tatarska omacka,Spenatove lasagne s mozzarellou,Vyprazany kuraci Cordon Bleu zemiaky na grile tatarska omacka
2019-02-14,Kasa,Hrstkova polievka,Strapacky,Kura na vine,,
2019-02-14,Mestiansky piv,Fazulova s udeninou,Vyprazany kuraci rezen majonezovy salat,Spagety Bolognese so syrom,,
2019-02-14,Veglife,Paradajkovo feniklova polievka,Robi na cervenej balsamico kapuste pecene zemiaky,Udene tofu v paradajkovo koriandrovej omacke ryza natural,Polentovy kolac s batatmi a tempehom v mrkvovej omacke,Cviklove gulky so slnecnicou pazitkove zemiaky
2019-02-15,Bistro Mnamka,Spenatova kremova so syrom,Kuracia kapsa plnena syrovo zeleninovou plnkou dusena ryza,Zemiakove knedlicky plnene udenym masom dusena kapusta kysla smotana pazitka,Salat s prosciuttom olivovy olej pizza chlieb,Tirolska parena buchta poliata maslom orechami a bielou cokoladou
2019-02-15,BlueBear,Krupova polievka so zeleninou,Vyprazany syr s varenymi zemiakmi a tatarskou omackou,Transirovane morcacie prsia s hribovou omackou zemiakove gnocchi,Cuketove tycinky v parmezanovom obale zemiakova kasa,
2019-02-15,Dilema,Paradajkova s cestovinou,Marinovany kuraci steak s BBQ a zelenou fazulkou 0 5 ryza 0 5 americke zemiaky kapustovy salat,Ragu z panenky na divinovy sposob tarhona,Vyprazany ostiepok hranolky tatarska omacka,Vyprazany kuraci Cordon Bleu zemiaky na grile tatarska omacka
2019-02-15,Kasa,Porikova so zemiakmi,Udene bravcove s hrachovou kasou,Pasta puttanesca syr,,
2019-02-15,Mestiansky piv,Sampinonovo zemiakovy krem,Segedinsky gulas knedla,Bryndzove halusky s oskvarkami,,
2019-02-15,Veglife,Mrkvova polievka s hraskom a pohankou,Pecene spenatovo mozzarellove fasirky zemiakove pyre s maslom,Zeleninove kari s tofu a kokosovym mliekom ryza basmati,Grilovane marinovane sojove rezance s tekvicovou omackou pecene zemiaky,Natural rizoto s vlasskymi orechami porom a opekanou hlivou
2019-02-18,Bistro Mnamka,Luskova na kyslo,Penne s kuracim masom a smotanovo bazalkovym pestom parmezan,Cevapcici zemiakova kasa cibulka a horcica,Salat s kuracimi kuskami horcicovo medovy dresing pizza chlieb,Domace parene buchty poliate maslom posypane grankom a struhanou cokoladou
2019-02-18,BlueBear,Tekvicovo kokosova polievka,Zemiakove knedliky plnene udenym masom s kyslou kapustou a varenymi zemiakmi,Vyprazany bravcovy rezen v sezame pecene paprikove zemiacky tatarska omacka,Repovy gratan s chrenovou omackou,
2019-02-18,Kasa,Sosovicova na kyslo,Tofu s blansirovanou zeleninou a kokosovym mliekom,Bravcovy paprikas,,
2019-02-18,Mestiansky piv,Zasmazena zemiakova polievka s udeninou,Kuracie prsia na sampinonoch s dusenou ryzou,Hrachovy privarok s grilovanou udenou krkovickou,,
2019-02-18,Veglife,Minestrone polievka,Kokosove Stir fry s tofu jasminova ryza s ciernym sezamom,Karfiolovy paprikas s hraskom pecene zemiaky,Natural rizoto s tekvicou spenatom a gastanmi,Zavin plneny porom mrkvou a fetou pecene zemiaky
2019-02-19,Bistro Mnamka,Cesnacka s krutonmi,Kuracie sote so zeleninou na cervenom kari dusena ryza,Bravcovy rezen v parizskom cesticku zemiakova kasa mrkovy salat,Caprese salat bazalkovy dresing pizza chlieb,Domace parene buchty poliate maslom posypane grankom a struhanou cokoladou
2019-02-19,BlueBear,Jarna zeleninova s mrvenickou,Zemiakove knedliky plnene udenym masom s kyslou kapustou a varenymi zemiakmi,Kuracie sote s luskami a bielou fazulkou dusena ryza,Granadiersky pochod so struhanym syrom a kyslou uhorkou,
2019-02-19,Dilema,Frankfurtska s parkom,Pecene kuracie stvrte dusena ryza kysla uhorka,Grilovany bravcovy steak s volskym okom americke zemiaky coleslaw salat,Penne ARRABIATA s cerstvym spenatom struhany parmezan,Kuraci BURGER s cheddarom a zeleninou hranolky BBQ dressing mlete kuracie maso lolo biondo paradajka salotka
2019-02-19,Kasa,Zeleninova polievka,Tekvicovo spenatove lasagne,Hovadzie na Honkongsky sposob,,
2019-02-19,Mestiansky piv,Kremova porkova,Spanielsky vtacik s tarhonou a kapustovym salatom,Kolozvarska kapusta,,
2019-02-19,Veglife,Mrkvovo zazvorova polievka s kokos mliekom,Grilovane robi s gravy omackou petrzlenove zemiaky,Batatovo karfiolovy nakyp,Maslova fazula v paradajkovo parmezanovej omacke pecene zemiaky,Tofu so zeleninou v arasidovej omacke ryza natural B V P
2019-02-20,Bistro Mnamka,Slepaci vyvar so zeleninou a rezancami,Kuraci steak s medovo horcicovou omackou americke zemiaky,Strapacky so slaninou pazitka,Salat so syrovo sunkou strudlou bylinkovy dip,Domace parene buchty poliate maslom posypane grankom a struhanou cokoladou
2019-02-20,BlueBear,Cicerovy krem so psenom,Domace sulance so struhankovo orechovou posypkou a maslom,Transirovana bravcova rolada plnena zemlovou plnkou so zeleninovou omackou a slovenskou ryzou,Pecena claressa filet so zemiakovym pyre a citronovou omackou,
2019-02-20,Dilema,Fazulova s klobaskou a rezancami,Sable mece marinovane kuracie maso na grile 0 5 ryza 0 5 hranolky coleslaw tatarska omacka,Hovadzia svieckova na smotane parena knedla,Domace lievance s dzemom ovocim a slahackou,Kuraci BURGER s cheddarom a zeleninou hranolky BBQ dressing mlete kuracie maso lolo biondo paradajka salotka
2019-02-20,Kasa,Karfiolovy krem,Fazulovy gulas,Morcacie curry,,
2019-02-20,Mestiansky piv,Hovadzi vyvar s pecenovymi haluskami,Peceny rolovany bocik s domacou kysnutou knedlou,Tekvicove rizoto s kuracim masom,,
2019-02-20,Veglife,"NA","NA","NA","NA","NA"
2019-02-21,Bistro Mnamka,Fazulova s klobasou,Kuraci paprikas domace halusky,Vyprazany karfiol varene zemiaky domaca tatarska omacka,Caesar salat s krutonmi,Domace parene buchty poliate maslom posypane grankom a struhanou cokoladou
2019-02-21,BlueBear,Zemiakova polievka s klobasou,Jemne pikantny madarsky gulas s parenou knedlou,Morcacie prsia na zelenom koreni s divou ryzou,Zapekane sunkovo syrove cestoviny so zeleninou rukola,
2019-02-21,Dilema,Mrkvovo zazvorova,Grilovana kuracia rolka plnena slaninkou a syrom 0 5 ryza 0 5 hranolky listovy salat s cibulkou,Zemiakove gulky plnene udenym masom na kyslej kapuste,Spenatove fasirky varene zemiaky s vnatkou farmarsky dressing,Kuraci BURGER s cheddarom a zeleninou hranolky BBQ dressing mlete kuracie maso lolo biondo paradajka salotka
2019-02-21,Kasa,Zemiakova na kyslo,Spenatova kofta,Kolozvarska,,
2019-02-21,Mestiansky piv,Zeleninova jarna s mrvenickou,Pecene plnene kuracie stehno zemlova plnka dusena ryza miesany zeleninovy salat,Bryndzove pirohy s oskvarkami a kyslou smotanou,,
2019-02-21,Veglife,Fazulova polievka na kyslo,Zeleninove karbonatky s cubricou pecene zemiaky,Sampinony na cervenom vine a zazvore ryza natural,Paradajkove psenoto s cuketou a semiackami,Francuzske zemiaky s tofu vajcami a syrom pazitkove zemiaky
2019-02-22,Bistro Mnamka,Kelova so zemiakmi,Kuraci spiz cibula klobasa slanina paprika pucene zemiaky,Segedinsky gulas domaca parena knedla,Salat s vyprazanymi syrovymi kuskami majonezovy chilli dip pizza chlieb,Domace parene buchty poliate maslom posypane grankom a struhanou cokoladou
2019-02-22,BlueBear,Citronova polievka s krutonom,Jemne pikantny madarsky gulas s parenou knedlou,Kuracie prsia zapekane so slaninkou a udenym syrom s batatovym pyre,Grilovane tofu so zeleninou a hraskovou ryzou,
2019-02-22,Dilema,Cesnakova polievka so sampinonmi,Kuraci steak s Ratatouille zeleninou a vajickovou ryzou,Bravcove Chilli con Carne v tortille so struhanym syrom salat,Vyprazany syr hranolky tatarska omacka,Kuraci BURGER s cheddarom a zeleninou hranolky BBQ dressing mlete kuracie maso lolo biondo paradajka salotka
2019-02-22,Kasa,Batatovo tekvicovy krem,Gratinovana zelenina,Kuracie platky so sampinonovou omackou,,
2019-02-22,Mestiansky piv,Rusky borsc,Hovadzie stehno s paradajkovou omackou a domacou kysnutou knedlou,Rybi paprikas so spenatovymi haluskami,,
2019-02-22,Veglife,Spenatova polievka,Bryndzove prazenky zemiakove pyre s maslom,Luskovy gulas s udenym tofu provensalske zemiaky,Gnocchi s kelom tempehovymi skvarkami a parmezanom,Shepherd s pie Pastiersky kolac
2019-02-25,Bistro Mnamka,Cukinova so zemiakmi,Kuracia panvicka grilovana zelenina s kur masom dusena ryza,Bolognese spagety parmezan,Salat s plnenymi sampinonmi sunka syr smotanovy dresing pizza chlieb,Domace parene buchty poliate cokoladou a posypane kokosom
2019-02-25,BlueBear,Kuracia kremova s ryzovymi rezancami,Vyprazana fasirka so sosovicovym privarkom a domacim zemiakovym chlebom,Telacie rezanceky so zelenou fazulkou karotkou a hraskomv kukuricnej tortille,Miesany listovy salat s grilovanym ostiepkom brusnicami a toastom,
2019-02-25,Dilema,Zeleninova Minestrone,Grilovane kuracie prsia so zelenym pestom 0 5 ryza 0 5 hranolky listovy salat,Sosovicovo zemiakovy privarok s baby fasirkami chlieb,Cestoviny Penne Al Primavera brokolica paprika por cuketa salotka struhany parmezan,5 Grilovana panenka na hribikovom rizote
2019-02-25,Kasa,Brokolicovo spenatovy krem,Penne Pomodoro syr,Pecene morcacie stehno na mede s citrusmi,,
2019-02-25,Mestiansky piv,Sosovicova so zeleninou,Hovadzie ragu na polovnicky sposob s dusenou ryzou,Strapacky s kapustou,,
2019-02-25,Veglife,Gulasova polievka,Celozrnne spagety s cervenym pestom orechami rukolou a tempehom V P,Zelerovo mrkvove placky na cervenej sosovici pecene zemiaky,Pecena zelenina s rukolovym pestom ryza natural,Gratinovana hokaido tekvica s udenym syrom a tymianom
2019-02-26,Bistro Mnamka,Paradajkova so syrom,Kuracie prsia s nivovou omackou domace americke zemiaky,Bryndzove pirohy slanina opecena cibulka kysla smotana,Salat s grilovanym udenym tofu balzamikovy dresing pizza chlieb,Domace parene buchty poliate cokoladou a posypane kokosom
2019-02-26,BlueBear,Cviklovy krem s bylinkovym krutonom,Vyprazana fasirka so sosovicovym privarkom a domacim zemiakovym chlebom,Pecena udena krkovicka so sedliackymi zemiakmi a kyslou oblohou,Hlivove rizoto s baby spenatom,
2019-02-26,Dilema,Fazulova na kyslo,Marinovane vyprazane kuracie rezance dusena ryza coleslaw salat,Pecena krkovicka na ciernom pive a zelenom koreni rozmarinove zemiaky,Kremove tekvicovo cuketove rizoto cervena cibula biele vino maslo parmezan,5 Grilovana panenka na hribikovom rizote
2019-02-26,Kasa,Hraskova polievka,Cicer na marocky sposob,Pulled pork,,
2019-02-26,Mestiansky piv,Kapustova polievka,Kuraci gyros s hranolkami s cesnakovym dressingom,Sekany mlety rezen s maslovou tekvicou a zemiakovym privarkom,,
2019-02-26,Veglife,Thajska polievka s kokosovym mliekom a bananom,Pikantne sosovicovo krupkove ovalky pecene zemiaky,Azuki sote ryza natural,Brokolicove lasagne s mozzarellou,Segedinsky gulas s hlivou knedla
2019-02-27,Bistro Mnamka,Slepaci vyvar so zeleninou a rezancami,Jemne pikante kuracie sote dusena ryza,Vyprazana zeleninova fasirka karotkovo zemiakova kasa salat,Salat s gril kuracim masom paradajkovo bazalkovy dresing pizza chlieb,Domace parene buchty poliate cokoladou a posypane kokosom
2019-02-27,BlueBear,Hraskova polievka s haluskami,Plnene slivkove gulicky s kakaovou posypkou a maslom,Marinovane kuracie stehno na pecenej korenovej zelenine a restovanych baby zemiackoch,Tekvicovy couscous so semiackami a rukolou,
2019-02-27,Dilema,Hrachova s parkom,Kuraci Ciernohorsky rezen 0 5 ryza 0 5 opekane zemiaky,Moravsky vrabec dusena kysla kapusta s udenou slaninkou parena knedla,Miesany salat z cerstvej zeleniny s grilovanym hermelinom bagetka farmarsky dressing,5 Grilovana panenka na hribikovom rizote
2019-02-27,Kasa,Cesnakova kremova polievka,Bryndzove halusky s pecenou cibulkou,Kuracie stehno na bylinkach,,
2019-02-27,Mestiansky piv,evka0 lHovadzi vyvar s masom a cestovinou,Konfitovana bravcova krkovicka so zemiakovou kasou salat coleslaw,Baklazanovo cuketove kremove rizoto s kuracim masom a syrom,,
2019-02-27,Veglife,Thajska polievka s kokosovym mliekom a bananom,Pikantne sosovicovo krupkove ovalky pecene zemiaky V P,Azuki sote ryza natural,Brokolicove lasagne s mozzarellou,Segedinsky gulas s hlivou knedla
2019-02-28,Bistro Mnamka,Sosovicova s parkom,Kuracie rizoto s parmezanom kysle uhorky,Grilovany encian s pecenou zeleninkou a varenymi zemiakmi dom tatarska omacka,Salat s mexickou tortillou smotanovo bylinkovy dip,Domace parene buchty poliate cokoladou a posypane kokosom
2019-02-28,BlueBear,sosovicova na kyslo,Bravcove stehno na znojemsky sposob s tarhonou a calamadou,Pecene morcacie prsia s kurkumou a jarnou cibulkou dusena ryza,Jemne pikantne cestoviny s pestom zo susenych paradajok a halloumi syrom,
2019-02-28,Dilema,Tesime sa na vas v piatok,"NA","NA","NA","NA"
2019-02-28,Kasa,Paradajkova polievka s bazalkou,Gratinovane zemiaky so spenatom,Hovadzi Bourguignon,,
2019-02-28,Mestiansky piv,Dropkova so smotanou a zeleninou,Kuraci cernohorsky rezen s opekanymi zemiakmi a tatarskou omackou,Penne carbonara so syrom a rukolou,,
2019-02-28,Veglife,Kukuricova Tex Mex polievka,Pohankova sekana s tofu a BBQ glazurou pecene zemiaky,Karfiolovy rezen so syrom zemiakove pyre s maslom,Paneer tikka masala jazminova ryza,Zapekane bataty s tofu a bazalkovym pestom
2019-03-01,Bioland,Z ciernej fazule na kubansky sposob,Spagety arrabbiata s olivami bazalkou a veganskym parmezanom,Gratinovane paradajky plnene psenom a parmezanom s rukolovo slnecnicovym salatom,Avokadovy raw kolac s kiwi a matou,
2019-03-01,Bistro Mnamka,Porova so zemiakmi,Kuraci rezen v sezame zemiakova kasa salat,Bravcovy madarsky gulas domaca parena knedla,Salat s kuracimi kuskami v corn flakes cesnakovy dresing pizza chlieb,Domace parene buchty poliate cokoladou a posypane kokosom
2019-03-01,BlueBear,Kremova kapustova polievka s udeninou,Bravcove stehno na znojemsky sposob s tarhonou a calamadou,Vyprazane kuracie prsia v cornflkesovom obale s varenymi zemiakmi a tatarskou omackou,Peceny filet z tresky tmavej so zemiakovou kasou,
2019-03-01,Dilema,Sampinonovy krem,Kuracie supreme na smotanovej omacke z pecenej papriky domace halusky,Hovadzie dusene na Viedensky sposob s oprazenou cibulkou restovane zemiaky,Vyprazany syr hranolky tatarska omacka,5 Grilovana panenka na hribikovom rizote
2019-03-01,Kasa,Fazulova polievka so zeleninou,Zeleninova strudla,Pecena krkovicka na pive,,
2019-03-01,Mestiansky piv,Luskova na kyslo,Hovadzie na sampinonoch s tarhonou a kyslou uhorkou,Vyprazany hermelin s varenymi zemiakmi s petrzlenovou vnatou a tatarskou om,,
2019-03-01,Veglife,Mrkvovo skoricova polievka,Plneny kapustny list s ryzou a hubami pecene zemiaky,Matovo limetkove tagliatelle,Kibeh bulgur s tekvicou a vlasskymi orechami,Tofu kung pao ryza natural B V P
2019-03-04,Bioland,Hraskova kremova s pecenym porom,Grilovany cammembert s pecenymi zemiakmi a bylinkovym dipom,Hlivovy perkelt s kukuricnymi cestovinami,Raw maracuja torta,
2019-03-04,Bistro Mnamka,Zemiakova na kyslo,Hokkaido rizoto s kuracim masom prazene tekvicove semiacka parmezan,Bravcovy rezen v bylinkovej struhanke posypane syrom hraskovo zemiakove pyre,Salat s griIovanym kuracim masom horcicovo medovy dresing pizza chlieb,Domace parene buchty s horucou lesnou zmesou praskovy cukor
2019-03-04,BlueBear,Zelerova s pecenou paprikou,Segedinsky gulas s parenou knedlou,Bravcovy rezen v cesticku so zemiakovou kasou a kyslou uhorkou,Zapekane plnene paradajky s parmezanovou quinoou,
2019-03-04,Dilema,Karfiolova s hraskom a haluskami,Kuracia ciganska s opecenou cibulou 0 5 ryza 0 5 hranolky,Vyprazany bravcovy rezen zemiakovy salat s cibulou,Bryndzove pirohy s kyslou smotanou a vypecenou udenou slaninkou,0 Kuraci steak DILEMA na toaste so zemiakovymi kroketami restovany spenat grilovana paprika volske oko
2019-03-04,Kasa,Mrkvovy curry krem s kokosovym mliekom,Bravcove na stave,Penne Pesto e pomodoro syr,,
2019-03-04,Mestiansky piv,Cesnakova s krutonmi,Kuracia pivovarska pochutka s ryzou a kyslou uhorkou,Tuniakove spagety so syrom,,
