datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-07-07,Kasa,Paradajkova polievka s bazalkou,Sampinony na marocky sposob s hlivou,Bravcovy perkelt,,
2021-07-07,Milton,Cuketova polievka zo salviou cira maslovo krupicove halusky,Dusene hovadzie zadne z mladeho bycka na cervenom vine a tymiane,Mozzarellove gulky fritovane v miesanej orieskovej kruste,Grilovane kacacie prsia plnene pate z kuracej pecene Sous Vide,Zmrzlinovy pohar alla Milton
2021-07-07,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plneny bravcovy rezen na prirodno so sunkou syrom a spenatom s hranolkami,Salat s tuniakom krutonmi vajickom a bazalkovym dressingom,,
2021-07-07,Red Cafe,Ostro kysla polievka,Pfeffer steak z bravcovej panenky tlacene zemiaky,Spenatovy privarok vajicko varene zemiaky,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-07,Suvlaki,Sosovicova polievka,Pecena bravcova KRKOVICKA plnena slaninkou a syrom Kefalotiri,Pecene KURA s rozmarinom horcicovo medova omacka,,
2021-07-07,Svadby a Kari,Studena mangovo uhorkova polievka s opekanou paprikou,Kokosovo pomarancove kari s cuketou mrkvou a cicerom melonovy salat s cerstvymi bylinkami,Indicke kuracie Vindaloo s batatmi karfiolom a hrozienkami melonovy salat s cerstvymi bylinkami,,
2021-07-07,Veglife,Tekvicovy krem s kurkumou,Gnocchi s pecenou letnou zeleninou a parmezanom,Zavin plneny porom mrkvou a fetou zemiakove pyre s maslom,Vegan Paella,Salat Brokolicovo paradajkovy s olivami
2021-07-08,Alzbetka,Zeleninova s mrvenickou,Bravcovy steak s bazalkovym pestom a grilovanou zeleninou,Kuracie curry s jazminovu ryzou,Ceasar salat s kuracim masom a chlebovymi krutonmi,
2021-07-08,BlueBear,Spenatova polievka so zemiakmi,Hovadzie dusene s koprovou omackou parena knedla,G Salat s trhanym lososom a francuzskym dresingom,,TYZDENNE BLUE BEAR club sendwich s kuracim masom a domacimi hranolkami
2021-07-08,Centr klub,Sampinonova so zemiakmi,Vyprazany karfiol varene zemiaky tatarska omacka,Bravcova panenka na hubach tarhona,,
2021-07-08,Ceska piv,Slepaci vyvar s masom a rezancami,Krem z lesnych hribikov,Pecene kuracie stehno s ryzou a broskynovym kompotom,Pecena krkovicka na cesnaku a ciernom pive s varenymi zemiakmi,Salat s grilovanymi sampinonmi a bylinkovym dresingom
2021-07-08,Galileo,Fazulova polievka,Vyprazane rybie file slovensky zemiakovy salat,,,
2021-07-08,Kasa,Kelova detox polievka,Zeleninove Panang curry,Hovadzie lasagne,,
2021-07-08,Milton,Hribova kremova polievka zmes lesnych hub a sampinonov,Pecena plnena PCR paprika masova gulka,Grilovany steak z chladeneho norskeho lososa,Mini rezniky vyprazane medajlonky z bravcovej panenky,Brownies s brusnicovym couilisom a zmrzlinou carrot cheesecake
2021-07-08,Prazsky pub,Sosovicova na kyslo,Svieckova na smotane s parenou knedlou,Farfalle s kuracim masom syrovou omackou a porom,,
2021-07-08,Red Cafe,Zemiakova na kyslo polievka,Kuracie medailonky na sparglovej omacke dusena ryza,Penne s kuracimi kuskami a susenymi paradajkami,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-08,Suvlaki,Hraskova polievka,Peceny KRALIK s mrkvou cervenou cibulkou vinova omacka,Pecene KURACIE GULICKY s tymianom,,
2021-07-08,Svadby a Kari,Petrzlenova polievka s kokosovym mliekom a limetkou VEGAN,Indicky VEGAN Dhal z cervenej sosovice s cerstvymi marhulami  ladovy salat s olivami,Vietnamske hovadzie kari s ananasom cuketou a mrkvou   ladovy salat s olivami,,
2021-07-08,Veglife,Tandori batatovo hraskova polievka,Cicer na marocky sposob ryza natural,Sampinonove krokety s koprovou omackou pecene zemiaky,Francuzske zemiaky s tofu,Salat Uhorkovy s matou
2021-07-09,Alzbetka,Hovadzi vyvar s rezancami,Bravcove trhane v zemli so zemiakovymi hranolkami a coleslaw salatom,Vyprazany karfiol s varenymi zemiakmi s maslom a tatarskou omackou    Ceasar salat s kuracim masom a chlebovymi krutonmi,,
2021-07-09,BlueBear,Drzkova polievka,Obrateny bravcovy rezen so zemiakovou kasou a cviklovym salatom,Cestoviny carbonara so struhanym syrom,,TYZDENNE BLUE BEAR club sendwich s kuracim masom a domacimi hranolkami
2021-07-09,Centr klub,Mrkvovy krem so zazvorom a opecenym chlebom,Rizoto s kuracim masom a syrom uhorkovy salat,Madarsky gulas parena knedla,,
2021-07-09,Ceska piv,Slepaci vyvar s masom a rezancami,Brokolicova kremova polievka,Restovana kuracia pecen s ryzou a kyslou uhorkou,Kuracie prsia na prirodno s greckou kremovou omackou s olivami,Caesar salat
2021-07-09,Galileo,Karfiolova polievka,Domaca fasirka so zemiakovym privarkom a chlebom,,,
2021-07-09,Kasa,Hokkaido polievka,Blansirovana zelenina v kokosovem mlieku s quinoou,Morcacie prsia na bielej fazulke v paradajkovej omacke,,
2021-07-09,Milton,Ragu zo sezonnej zeleniny s kokosovym mliekom limetkovymi listkami a citronovou travou,Grilovany kuraci steak  bazalkove maslo,Ricottove lievance so susenymi brusnicami,Medajlonky z bravcovej panenky Sous Vide,Ovocny sorbet vyber cerstve jahody a cokoladovy preliv
2021-07-09,Prazsky pub,Mrkvova polievka s hraskom a krupicovymi haluskami,Vyprazana morska stuka so zemiakovym salatom,Gnocchi s restovanou kuracou pecienkou salviou paradajkami a parmezanom,,
2021-07-09,Red Cafe,Porkova so zemiakmi polievka,Kuraci perkelt s haluskami,Salat s tuniakom vajickom a dresingom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-09,Suvlaki,Cuketova polievka,Peceny ZUBAC s rozmarinom cervenymi paradajkami kaparami,Grilovany SYR CHALUMI,,
2021-07-09,Svadby a Kari,Poctiva ostro kysla polievka s kuracim masom a udenym tofu,Thajske zlte kari so zltym melonom cuketou sampinonmi a sojovymi klickami paradajkovy salat s cicerom,Indicke maslove Butter Chicken s kuracim masom batatmi paradajkami a hraskom  paradajkovy salat s cicerom,,
2021-07-09,Veglife,Petrzlenovy krem s jablkami,Batatovo karfiolovy nakyp zemiakove pyre s maslom,Farfalle s bazalkovym pestom a goody foody,Zazvorove tofu na sampinonoch a brokolici ryza natural,Salat Mexicky s fazulkou B V P
2021-07-12,Alzbetka,Paradajkova so syrom,Vykostene kuracie stehno na sampinonoch so zemiakovou kasou,Spagety Aglio e Olio s krevetami struhanym parmezanom a baby spenatom,Ks Mix listovy salat s tuniakom a vajickom hrianky,
2021-07-12,BlueBear,Zemiakova polievka na kyslo,Plnena paprika s paradajkovou omackou varene zemiaky,Hubove rizoto s parmezanom a rukolou,,TYZDENNE Vyprazane olomoucke syrecky s pecenymi baby zemiakmi a tatarskou omackou
2021-07-12,Centr klub,Cesnakova kremova s opecenym chlebom,Bryndzove pirohy so smotanou a chrumkavou cibulou,Kuraci steak nivova omacka hraskova ryza,,
