datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-07-21,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plneny bravcovy rezen na prirodno so sunkou syrom a spenatom s hranolkami,Salat s tuniakom krutonmi vajickom a bazalkovym dressingom,,
2021-07-21,Red Cafe,Karfiolova polievka s mrkvou,Holandsky mlety rezen zemiakova kasa mrkvovy salat,Caesar salat s kuracim masom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-21,Suvlaki,Sosovicova polievka,Pecene KACACIE STEHNO s cervenou cibulou tymianom vinova omacka,KURACIE SOTE so zelenymi fazulovymi strukmi,,
2021-07-21,Svadby a Kari,Azijsky vyvar so sampinonmi a zeleninou VEGAN,Indicka VEGAN mandlova Korma s cuketami a batatmi  salat s korenim za atar,Indicke pistaciovo jogurtove kari s kuracim masom paradajkami zemiakmi a opekanym baklazanom  salat s korenim za atar,,
2021-07-21,Veglife,Zeleninovy vyvar s miso pastou,Plnena paprika so sojovou plnkou v paradajkovej omacke pazitkove zemiaky,Spenatovo syrovy quiche zemiakove pyre s restovanou cibulkou,Nasi goreng B P,Salat Kalerabovo mrkvovy s mungo klickami
2021-07-22,Alzbetka,Hraskovy krem s matou a bylinkove krutony,Hovadzie dusene na lesnych hubach s tarhonou,Kuraci wrap s pecenymi zemiakmi majoneza z peceneho cesnaku,Mix listovych salatov s kozim syrom jablkami a pecenou cviklou,
2021-07-22,Bioland,Cuketova kremova s cerstvym oreganom alergeny neobsahuje,Baklazanovy steak so zelerovo zemiakovou kasou a salatom alergeny zeler,Spenatove halusky s nivovou omackou alergeny mlieko lepok,Raw ovocna torta alergeny orechy,
2021-07-22,BlueBear,Kapustova kremova s udeninou,Jemne pikantny madarsky gulas s parenou knedlou,G Vyprazany zeleninovy rezen s batatovym pyre a rukolou,,TYZDENNE Grilovany losos na pecenom zemiaku s wakame riasou a limetkovou redukciou
2021-07-22,Centr klub,Hlivova s udenou paprikou,Zeleninove kari jazminova ryza peceny sezam koriander,Vyprazana treska zemiakovo cibulovy salat,,
2021-07-22,Ceska piv,Slepaci vyvar s masom a rezancami,Hrachova polievka,Kuracie sote so sampinonmi ryza,Bravcove vypecky s varenymi zemiakmi kysla uhorka,Tuniakovy salat s vajickom
2021-07-22,Galileo,Polievka z fazulovych strukov,Prirodny plneny bravcovy rezen so zemiakovou kasou a kyslou uhorkou,Slovenske strapacky,Salaty Grecky Kuraci  Prosciutto s mozzarellou Tuniakovy,Pizza pecena original na dreve Funghi Cardinalle Salami Hawai
2021-07-22,Kasa,Karfiolova polievka s rascou,Kukuricne cestoviny s paradajkami a gril cervenou paprikou,SPECIAL Konfitovane kacacie stehna cervena kapusta,,
2021-07-22,Milton,Slepaci vyvar cestovina nitovky zelenina a maso,Bolonske lasagne gratinovane syrom mozzarella,U nas mlete bravcove a hovadzie maso korenova zelenina paradajky a bylinky,Grilovana morska ryba,Viedenske vyprazane telacie rezne telacie kare
2021-07-22,Prazsky pub,Sosovicova na kyslo,Svieckova na smotane s parenou knedlou,Farfalle s kuracim masom syrovou omackou a porom,,
2021-07-22,Red Cafe,Hraskovy krem s bazalkou,Hovadzi tokan na cervenom vine tarhona,Marinovany zapek karfiol s mrkvovo mozzarell roladou,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-22,RTVS,Hrachova polievka,Cestoviny penne s arabiata omackou syr,Pecene maso cervena kapusta knedla,Francuzske zemiaky,
2021-07-22,Spilka,Taradajkova polievka so syrom,Restovane rezance s bravcovym masom a zazvorom,Domace sulance s makom a brusnicami     f,,
2021-07-22,Suvlaki,Cuketova polievka,Grilovany Bravcovy STEAK so sampinonmi a cervenou paprikou,Grilovane KURACIE FASIRKY Tzatziki dip,,
2021-07-22,Svadby a Kari,Svieza sosovicova polievka s citronovou stavou,Indicky VEGAN Dhal z cervenej sosovice s cerstvymi broskynami a tamarindom  paradajkovy salat so sojovymi klickami,Thajske Massaman kari s hovadzim masom batatmi BIO cuketou a paradajkami    paradajkovy salat so sojovymi klickami,,
2021-07-22,Veglife,Luskova polievka na kyslo,Batatove psenoto s veganskym parmezanom a rukolou,Mexicke lasagne,Paneer tikka masala ryza natural,Salat Uhorkovo ananasovy salat
2021-07-23,Alzbetka,Kacaci vyvar s pecenovymi haluskami,Hot Dog so zemiakovymi hranolkami,Vyprazana morska stuka v panko struhanke so zemiakovou kasou a tatarskou omackou     Mix listovych salatov s kozim syrom jablkami a pecenou cviklou,,
2021-07-23,Bioland,Cicerova kremova s nori vlockami alergeny neobsahuje,Tofu kung pao ryza arasidy alergeny soja arasidy,Miesany list salat s paradajkami uhorkou olivami vegan cheddarom a s horc med zalievkou alergeny horcicne semienka,Raw cviklovo matova torta alergeny orechy,
2021-07-23,BlueBear,Hrstkova polievka s chlebom,Kuraci paprikas s haluskami a kyslou uhorkou,G Vyprazany hermelin s varenymi zemiakmi tatarska omacka,,TYZDENNE Grilovany losos na pecenom zemiaku s wakame riasou a limetkovou redukciou
2021-07-23,Centr klub,Francuzska cibulacka so syrovym toastom,Salat s tuniakom cervena repa vajicko cesnakova hrianka,Hovadzie na hubach slovenska ryza kapustovy salat,,
2021-07-23,Ceska piv,Slepaci vyvar s masom a rezancami,G Grilovany encian s brusnicami varene zemiaky,Tagliatelle s grilovanou zeleninou a kuracim masom parmezan,Vyprazany bravcovy rezen s pecenymi zemiakmi tatarska omacka,
2021-07-23,Galileo,Sampinonova polievka,Kung pao s dusenou ryzou,Vyprazany hermelin s hranolkami a tatarskou omckou,Salaty Grecky Kuraci  Prosciutto s mozzarellou Tuniakovy,Pizza pecena original na dreve Funghi Cardinalle Salami Hawai
2021-07-23,Kasa,Indicka sladko kysla polievka,Grilovany encian  ovocne chutney,Hovadzi Shepherd s pie,,
2021-07-23,Milton,Provensalska strukova polievka s citronovou stavou a koprom,Vysmazany kuraci spiz zo syrom v safranovom cesticku vykostene kuracie stehno a syr Eidam,Pecene tvarohove buchty,Grilovany filet z morskej ryby,Vo vakuu pripravovany telaci Ryb Eye steak
2021-07-23,Prazsky pub,Mrkvova polievka s hraskom a krupicovymi haluskami,Vyprazana morska stuka so zemiakovym salatom,Gnocchi s restovanou kuracou pecienkou salviou paradajkami a parmezanom,,
2021-07-23,Red Cafe,Francuzska polievka,Segedinsky gulas domaca knedla,Kuraci kebab v tureckej zemli,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-23,RTVS,Slepacia polievka,Pecene buchty s dzemom,Vyprazany syr mastene zemiaky tat omacka,Kotlikovy gulas chlieb,
2021-07-23,Spilka,Karfiolovy krem s krutonom      TI,Zaudene kuracie prsi s horcicovou omackou a pucenymi zemiakmi,Pecene avokado s posirovanym vajickom a fazulovym privarkom,,
2021-07-23,Svadby a Kari,Laksa malajska kokosova polievka VEGAN,Turecke VEGAN Baharat kari s BIO cuketou paradajkami cicerom a matou batatovy salat s domacou harissa pastou,Kuku Paka africke kuracie kokosove kari s baklazanom paradajkami a zelenymi fazulkami batatovy salat s domacou harissa pastou,,
2021-07-23,Veglife,Thajska batatova polievka,Mrkvovo cuketove placky zemiakovo hraskove pyre,Teriaki goody foody sote ryza jasminova,Cviklovo zemiakovy gratin,Salat Feniklovy s hraskom
2021-07-26,Alzbetka,Sampinonovy krem s bylinkami,Vyprazany bravcovy rezen s varenymi zemiakmi majoneza z peceneho cesnaku,Cviklove rizoto so syrom feta piniove orechy cviklove vyhonky,Cestovinovy salat so zeleninou a syrom feta,
2021-07-26,Bioland,Kremova polievka z rajcin mrkvy a cukety alergeny neobsahuje,Indicke kuku paka s karfiolom cuketou cicerom a ryzovymi rezancami alergeny horcicne semienko,Krupoto s lesnymi hubami a parmezanom alergeny lepok zeler sedano mlieko,Mangova raw torta alergeny orechy,
2021-07-26,BlueBear,Sosovicova polievka na kyslo,Vyprazane kuracie pecienky s varenymi zemiakmi a tatarskou omackou,Spenatove rizoto s medvedim cesnakom a parmezanom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-07-26,Centr klub,Paradajkova so syrom a bazalkou,Spagety Carbonara,Kuracie prsia na sampinonovom ragu slovenska ryza uhorkovy salat,,
2021-07-26,Ceska piv,Slepaci vyvar s masom a rezancami,Kuracie prsia s mexickou fazulou ryza,Bravcova kapsa plnena slaninou a udenym ostiepkom varene zemiaky,Salat s mini mozzarellkou a pestom z medvedieho cesnaku,
2021-07-26,Galileo,Cesnakova kremova s krutonmi,Ciganske kuracie stehno zapekane so syrom op zemiaky,,,
2021-07-26,Kasa,Mrkvova polievka s kokosovym mliekom,Bulgurotto s hokkaido penou,Pulled pork,,
2021-07-26,Milton,Sosovicova polievka so zeleninou lupanymi paradajkami a bazalkou,Grilovane medajlonky z bravcovej panenky,Pasta rolada so spenatom susenymi paradajkami a mozarelou,Konfitovane telacie licka na salvii a ciernom pive,Zmrzlinovy pohar alla Milton
2021-07-26,Red Cafe,Minestrone polievka,Kuraci platok na sipkovej omacke zemiakova kasa,Cestovinovy salat s grilovanym kuracim masom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-26,RTVS,Hovadzi vyvar s cestovinou,Palacinky s tvarohom,Vyprazany bravcovy rezen dusena ryza,Hydinovy perkelt halusky,
2021-07-26,Spilka,Brokolicovy krem s krutonom,Kuracie spizy s restovanou ryzou a bbg omackou,Vyprazany syr s pecenymi zemiakmi a domacou tatarkou,,
2021-07-26,Suvlaki,Zeleninova polievka,Dusene bravcove maso s cervenou paprikou horcicova omacka,Pecene vykostene kuracie stehno plnene syrom vinova omacka,,
2021-07-26,Svadby a Kari,Sosovicova polievka s kurkumou a opekanymi kesu orechami VEGAN,Mangovo datlove VEGAN kari s bananmi platanos a cuketou  kapustovy salat,Indicke maslove Butter Chicken s kuracim masom batatmi paradajkami a hraskom  kapustovy salat,,
2021-07-26,Veglife,Paradajkova polievka s pohankou,Bryndzove prazenky zemiakovo hraskove pyre,Africky gulas s fazulou a arasidovym maslom ryza basmati,Gnocchi s pecenou letnou zeleninou a parmezanom,Salat Kapustovo paradajkovy s paprikou
2021-07-27,Alzbetka,Frankfurtska so zemiakmi,Chilli con carne so dusenou ryzou a kyslou smotanou,Bravcova rolada plnena bylinkami so zemiakovou kašou a demi glace,Cestovinovy šalat so zeleninou a syrom feta,
2021-07-27,Bioland,Thajska kokosova kari so zeleninou a ryzovymi rezancami alergeny horcicne semienko,Gratinovane paradajky plnene pšenom a parmezanom s rukolovo slnecnicovym šalatom alergeny mlieko,Granadir s pohankovou cestovinou a domacim cviklovym šalatom alergeny horcicne semienko,Cokoladove brownies s orieškami a cviklou alergeny lepok mlieko vajcia orechy,
2021-07-27,BlueBear,Frankfurtska polievka s parkom,Zapekana kolozvarska kapusta s klobasou a kyslou uhorkou,Pecene rybie file so zemiakovou kašou a coleslaw šalatom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-07-27,Centr klub,Rybacia so zeleninou,Vyprazany syr hranolky tatarska omacka,Pecene kare na slanine štuchane zemiaky s restovanou cibulou,,
2021-07-27,Ceska piv,Slepaci vyvar s masom a rezancami,Zeleninova polievka,Grilovany encian s varenymi zemiakmi brusnicovy dip,Hovadzi tokan na cervenom vine s ryzou,Šalat s kuracim prirodnym platkom a sušenou paradajkou
2021-07-27,Galileo,Cernohorsky br rezen s opekanymi zemiakmi a tat omackou,Šalaty Grecky Kuraci  Prosciutto s mozzarellou Tuniakovy,,,
2021-07-27,Kasa,Zeleninovy krem s cervenou šošovicou,Cuketovo zemiakova harula,Kura na peruansky sposob,,
2021-07-27,Milton,Šalatova polievka z rimskeho šalatu batatov a zašlahaneho vajicka,Dusene hovadzie zadne z mladeho bycka falošna svieckova,Zeleninove tašticky samosa plnka jemne pikantna zeleninova,Sous vide srncie medajlonky omacka Demi Glas zo Shitake hubami,Kokosova Panna cotta plnena pralinkami Raffaello pyre z tmaveho ovocia
2021-07-27,Prazsky pub,Hovadzi vyvar,Bravcovy rezen s ryzou a kapustovym šalatom,,,
2021-07-27,Red Cafe,Tekvicova polievka,Madarsky gulaš domaca knedla,Kuraci šalat s bylinkovym dresingom,Vyprazany syr hranolky tatarska omacka,Pizza šunkova salamova šampinonova
2021-07-27,RTVS,Šošovicova kysla,Kapustove fliacky,Hovadzie CHILLI CON CARNE dusena ryza,Bravcove kare znojemske tarhona,
2021-07-27,Spilka,Ostro kysla polievka,Brazirovane hovadzie rebro s koprovou omackou a parenou knedlou,Duseny špenat s poširovanym vajickom a zemiakmi,,
2021-07-27,Suvlaki,Paradajkova polievka,Peceny LOSOS s tymianom kaparami a cherry paradajkami,Kuracie sote s ananasom,,
2021-07-27,Svadby a Kari,Cira šampinonova polievka na bielom vine s cerstvym tymianom VEGAN,Indonezske arašidove VEGAN Satay kari s cuketou paradajkami a mungo fazulkami cviklovy šalat s bazalkou,Kokosove hovadzie kari s kešu batatmi cuketou a broskynami cviklovy šalat s bazalkou,,
2021-07-27,Veglife,Kalerabova polievka s mrkvou,Azijske zeleninove rezance so sezamom,Tekvicove faširky so syrom zemiakove pyre s maslom,Zeleninove tajine ryza jasminova,Šalat Mozzarellovy šalat s olivami
2021-07-28,Alzbetka,Brokolicova kremova so syrom,Segedinsky gulas s parenou knedlou,Gnochi s kuracim masom a gorgonzolovou omackou baby spenat,Cestovinovy salat so zeleninou a syrom feta,
2021-07-28,Bioland,Tekvicova kremova s tymianom a prazenymi semienkami alergeny neobsahuje,Veganske bryndzove halusky s tofu slaninkou alergeny lepok soja,Placky z bezlepkovych vlociek na paradajkovo kapustovej omacke alergeny neobsahuje,Chia puding z kokosoveho mlieka a ovocim alergeny neobsahuje,
2021-07-28,BlueBear,Kulajda,Kuraci cernohorsky rezen s pecenymi zemiakmi a tatarskou omackou,Parene buchty plnene dzemom s maslom a kakaom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-07-28,Centr klub,Cviklova s kyslou smotanou a koprom,Salat s grilovanym ostiepkom jablko jogurtovy dresing hrianka,Svieckova na smotane parena knedla,,
2021-07-28,Ceska piv,Slepaci vyvar s masom a rezancami,Karotkovy krem,Spagety Aglio Olio,Kuraci cernohor s pecenymi zemiakmi a tatarskou omackou,Salat s kuracimi nugetkami a medovo horcicovym dresingom
2021-07-28,Galileo,Brokolicova kremova,Bravcovy spanielsky vtacik s dusenou ryzou,,,
2021-07-28,Kasa,Kelovo zemiakova polievka,Hummus sezamova mrkva a peceny cicer,Hovadzi brisket,,
2021-07-28,Milton,Morcacie ragu s korenovou zeleninou a safranom,Fasirky z u nas mleteho hovadzieho a bravcoveho masa,Paradajkovo zeleninove lasagne gratinovane s mozzarellou,Mini rezniky vyprazane medajlonky z br panenky bezlepkova uprava,Ovocny sorbet vyber cerstve jahody a cokoladovy preliv
2021-07-28,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plneny bravcovy rezen na prirodno so sunkou syrom a spenatom s hranolkami,Salat s tuniakom krutonmi vajickom a bazalkovym dressingom,,
2021-07-28,Red Cafe,Kapustova polievka,Kur rolada plnena mozzarellou a sus paradajkami ryza,Fish and chips,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-28,RTVS,Zeleninova jarna,Bryndzove halusky so slaninkou,Bravcovy steak s volskym okom dusena ryza,Mlety rezen so syrom zemiaky s vnatkou,
2021-07-28,Spilka,Minestrone polievka,Bravcovy rezen fledermaust s domacim zemiakovym salatom,Domace bryndzove halusky schrumkavou cibulkou,,
2021-07-28,Suvlaki,Sosovicova polievka,Zapecena Tortila s mletym bravcovym masom baklazanom a syrom,Dusene kuracie maso so sampinonmi a susenymi paradajkami,,
2021-07-28,Svadby a Kari,Paradajkovo pomarancova polievka s kokosovym kremom VEGAN,Indicke spenatove kari VEGAN s rastlinnym jogurtom tofu paneerom a paradajkami salat z cervenej cibule s limetkou,Indicke kuracie Vindaloo s batatmi karfiolom a hrozienkami  salat z cervenej cibule s limetkou,,
2021-07-28,Veglife,Sosovicova polievka na kyslo,Kremove rizoto s cherry paradajkami a baby spenatom,Cviklove gulky so slnecnicou stuchane zemiaky s olivovym olejom,Spagetova torta,Salat Letny salat s orechami balkanskym syrom a figami
2021-07-29,Alzbetka,Minestrone s parmezanom,Hovadzi Cheese Burger so zemiakovymi hranolkami,Pecene kuracie stehno so zemiakovou kasou a chrumkavou cibulou,Cestovinovy salat so zeleninou a syrom feta,
2021-07-29,Bioland,Jarna zeleninova s petrzlenovou vnatou alergeny zeler,Miesany salat s klickami cherry rajcinami sedanom jablckom mandlami a citronovo medovou zalievkou alergeny zeler,Pohankova sekana so zemiakovou kasou a restovanou cibulkou alergeny neobsahuje,Bananove tiramisu alergeny mlieko vajcia lepok,
2021-07-29,BlueBear,Fazulova polievka s klobasou,Morcacie na zelenine s jazminovou ryzou a rukolou,G Lososove cestoviny s parmezanom a pazitkou,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-07-29,Centr klub,Fazulova na kyslo,Gnocchi s tekvicovym pyre feta rukola,Wrap s kuracim masom hranolky cili majoneza,,
2021-07-29,Galileo,Hrstkova polievka,Holandsky mlety rezen so syrom zemiakovou kasou a kyslou uhorkou,,,
2021-07-29,Kasa,Cviklovo paradajkova polievka,Blansirovana zelenina v kokosovom mlieku quinoa,Morcacie gulky v omacke,,
2021-07-29,Milton,Karotkovy krem s kokosovym mliekom a s cervenou kari pastou,Grilovany steak z kuracich prs  zelerova slama,Grilovana morska ryba,Grilovane kacacie prsia omacka kacaci Demi Glace,Ml LaPanna talianska smotanova zmrzlina s prichutou biscotti e limone
2021-07-29,Prazsky pub,Sosovicova na kyslo,Svieckova na smotane s parenou knedlou,Farfalle s kuracim masom syrovou omackou a porom,,
2021-07-29,Red Cafe,Luskova polievka,Pecene kare na horcicnej omacke dusena ryza,Salat s pecenou hokkaido feta syrom a balsamicom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-29,RTVS,Hrachova polievka,Cestoviny penne s arabiata omackou syr,Pecene maso cervena kapusta knedla,Francuzske zemiaky,
2021-07-29,Spilka,Zadeninova polievka,Kelovy privarok s pecenym hovadzim krkom azemiakmi,Hucvos rancheros s pecenym avokadom a tortillou      f,,
2021-07-29,Suvlaki,Cuketova polievka,Pecene hovadzie gulicky s rozmarinom,Pecene KURA s horcicovou omackou a tymianom,,
2021-07-29,Svadby a Kari,Poctiva ostrokysla polievka s kuracim masom a udenym tofu,Indicke VEGAN Aloo Gobi s karfiolom zemiakmi a hraskom  bananove catni,Thajske zlte hovadzie kari s mrkvou a brokolicou   bananove catni,,
2021-07-29,Veglife,Hraskovo matova polievka,Porovo syrovy quiche zemiakove pyre s maslom,Tofu kung pao ryza jasminova B V P,Robi rezen s balkanskym syrom zemiakove pyre s maslom,Salat Uhorkovo paradajkovy s olivami
2021-07-30,Alzbetka,Hovadzi vyvar s rezancami,Bravcovy steak s bazalkovym pestom a grilovanou zeleninou,Penne s lososom a smotanovou omackou baby spenat       Cestovinovy salat so zeleninou a syrom feta,,
2021-07-30,Bioland,Arasidova jemna so zeleninou alergeny arasidy zeler,Cevapcici z robi masa varene zemiaky a salat alergeny lepok soja horcicne semienko,Indicky sosovicovy dhal so zeleninou kokosovym mliekom a koriandrom alergeny horcicne semienko,Slivkovy osuch alergeny mlieko vajcia lepok,
2021-07-30,BlueBear,Cesnakova kremova polievka,Hovadzie rezanceky na hrasku s dusenou tarhonou,Vyprazane cuketove tycinky s varenymi zemiakmi a tatarskou omackou,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-07-30,Centr klub,Masovy vyvar so zeleninou a rezancami,Hubove rizoto so susenymi paradajkami a baby spenatom,Bravcovy cernohor americke zemiaky cesnakovy dresing,,
2021-07-30,Galileo,Sosovicova polievka,Madarsky gulas s knedlou,,,
2021-07-30,Kasa,Hraskovo cuketova polievka,Zeleninova placka,Pecene kuracie stehno,,
2021-07-30,Milton,Zeleninova polievka zo sezonnej zeleniny s maslovo krupicovymi haluskami,Konfitovane bravcove kare plnene fauche z udenej klobasy,Kremova omacka z bravcovej stavy pecenej sladkej cibule a smotany,Zemiakove sulance s makom a prepustanym maslom,Cviklovo karotkove krupoto grilovany Chevrette De Poiton
2021-07-30,Prazsky pub,Mrkvova polievka s hraskom a krupicovymi haluskami,Vyprazana morska stuka so zemiakovym salatom,Gnocchi s restovanou kuracou pecienkou salviou paradajkami a parmezanom,,
2021-07-30,Red Cafe,Hrachova s udenym polievka,Kuraci gyros v tortille tzaziky,Francuzske zemiaky kysla uhorka,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-30,RTVS,Slepacia polievka,Pecene buchty s dzemom,Vyprazany syr mastene zemiaky tat omacka,Kotlikovy gulas chlieb,
2021-07-30,Spilka,Gaurry polievka s cicerom       obr,Marinovane kuracie prsa z gilu so salatom z mladych listov sostro kyslim dresingom,,Vyprazany karfiol s vabgnymi zemiakmi a catarkou,
2021-07-30,Suvlaki,Hraskova polievka,Peceny ZUBAC s olivami cerstvymi paradajkami a cesnakom,Kuracie sote s cuketou cervenou paprikou,,
2021-07-30,Svadby a Kari,Thajska studena polievka so zltym melonom kokosovym mliekom a thajskou bazalkou VEGAN,Thajske VEGAN cervene kari s farebnymi paprikami tekvicou cuketou a cicerom redkovkovy salat,Malajske kuracie kari s maslom GHEE zelenymi fazulkami paradajkami a kokosovym mliekom  redkovkovy salat,,
2021-07-30,Veglife,Zeleninova kari polievka s quinoou,Cuketova moussaka,Cicerovy falafel indicke zemiaky,Aloo gobi subji ryza natural B V P,Salat Mexicky s fazulkou B V P
2021-08-02,Alzbetka,Sampinonovy krem s bylinkami,Vyprazany bravcovy rezen s varenymi zemiakmi majoneza z peceneho cesnaku,Cviklove rizoto so syrom feta piniove orechy cviklove vyhonky,Cestovinovy salat so zeleninou a syrom feta,
2021-08-02,Bioland,Hlivovo zemiakova alergeny neobsahuje,Marocky tekvicovy kotlik s kuskusom alergeny lepok,Fazulovo mrkvovy gulas s ryzou alergeny neobsahuje,Raw makovo kakaova torta alergeny orechy,
2021-08-02,BlueBear,Sosovicova polievka na kyslo,Vyprazane kuracie pecienky s varenymi zemiakmi a tatarskou omackou,Spenatove rizoto s medvedim cesnakom a parmezanom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-08-02,Centr klub,Zeleninova kremova s opecenym chlebom,Grilovany encian pecene zemiaky brusnice listovy salat,Bravcova panenka na rozmarine slanine a slivkach ryza,,
2021-08-02,Ceska piv,Slepaci vyvar s masom a rezancami,Luskova polievka na kyslo,Kuracie kusky s grilovanou zeleninou ryza,Vyprazany encian varene zemiaky tatarska omacka,Salat s kuracimi rezancami bylinkovy dresing
2021-08-02,Kasa,Zeleninova polievka so sojou a zazvorom,Hubove risotto,Kare na masti cibuli a rasci,,
2021-08-02,Milton,Cesnakovo zemiakova kremova polievka,Grilovany steak z kuracich prs omacka zo zeleneho korenia,Grilovane bravcove rebra Sous Vide s whisky chilli marinadou,Malinovo smotanova torta,
2021-08-02,Prazsky pub,Zemiakovy krem so sampinonmi,Kuracie rizoto so zeleninou struhanym syrom a kyslou uhorkou,Penne s masovym ragu na smotane s rukolou,,
2021-08-02,Red Cafe,Sampinonova so zemiakmi polievka,Br Cernohor americke zemiaky uhorkovy salat,Hribove rizoto s parmezanom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-08-02,RTVS,Hovadzi vyvar s cestovinou,Palacinky s tvarohom,Vyprazany bravcovy rezen dusena ryza,Hydinovy perkelt halusky,
2021-08-02,Spilka,S  druhy Ste pre,Paradajkova polievka,Grilovane kuracie stehna so satay omackoti a restovanou ryzou,Vyprazany syr s coleslav salatom a pecenymi zemiakmi,
2021-08-02,Suvlaki,Mili priatelia fanusikovia z dovodu dovolenky Bistro Suvlaki bude ZATVORENE od,Opat sa nas tesime v PONDELOK,,,
2021-08-02,Veglife,Sosovicova polievka na indicky sposob,Farfalle s bazalkovym pestom a goody foody,Grilovane robi platky s cuketovo koprovou omackou stuchane zemiaky s olivovym olejom,Shepherd s pie Pastiersky kolac,Salat Frisse s cherry paradajkami a tofu
2021-08-03,Alzbetka,Sosovicova s udenim masom,Kuraci gyros s domacim pita chlebom tzatziki cerstvy kopor,Gnochi s lesnymi hubami a slaninou parmezan,Rucolovy salat s baby mozzarellou cherry paradajky cierne olivy a balsamico dresing,
2021-08-03,Bioland,Kelova s mrkvou alergeny neobsahuje,Vegansky tempehovy stroganov s pecenymi zemiakmi alergeny soja horcicne semienko,Ratatouille s rastlinnym syrom a bazalkou alergeny neobsahuje,Cucoriedkova bublanina alergeny vajcia lepok,
2021-08-03,BlueBear,Frankfurtska polievka s parkom,Zapekana kolozvarska kapusta s klobasou a kyslou uhorkou,Pecene rybie file so zemiakovou kasou a coleslaw salatom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-08-03,Centr klub,Hubova s mrvenicou,Salat s kuracim masom kuskus vajicko jogurtovy dresing krutony,Hovadzi paprikas halusky spenat,,
2021-08-03,Ceska piv,Slepaci vyvar s masom a rezancami,Sosovicova s parkom,Kuracie na cinsky sposob s ryzou,Vyprazany bravcovy rezen zemiakova kasa,Salat s grilovanym ostiepkom brusnicovy dip
2021-08-03,Galileo,Slepacia polievka s cestovinou,Br panenka na prirodno s dubakmi a zem krokrtami,,,
2021-08-03,Kasa,Spenatova polievka,Zeleninove curry,Viedenska hovadzia rostenka,,
2021-08-03,Milton,Hrachova kremova polievka s restovanou cibulkou a slaninkou,Tradicne talianske masove gulky pecene v paradajkovej omacke,U nas mlete hovadzie a bravcove maso,Vyprazany Falafel cicerove gulky,Rump steak pripravovany technologiou Sous Vide
2021-08-03,Prazsky pub,Hovadzi vyvar,Bravcovy rezen s ryzou a kapustovym salatom,,,
2021-08-03,Red Cafe,Fazulova s klobaskou polievka,Kuracie medailonky na BBQ omacke dusena ryza,Cuketove placky so struhanou nivou sviezi zelenin salat,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-08-03,RTVS,Sosovicova kysla,Kapustove fliacky,Hovadzie CHILLI CON CARNE dusena ryza,Bravcove kare znojemske tarhona,
2021-08-03,Spilka,Hovadzia polievka s pecenovymi haluskami,Bravcova panenka na vine s estovanymi gnocchi,Spenatovy salat s pecenou repou kozim syrom a orechri,,
2021-08-03,Suvlaki,Mili priatelia fanusikovia z dovodu dovolenky Bistro Suvlaki bude ZATVORENE od,Opat sa nas tesime v PONDELOK,,,
2021-08-03,Veglife,Brokolicova kremova polievka,Baklazanova mousaka,Aloo matar kofty v paradajkovo kokosovej omacke indicke zemiaky,Seitan na sposob Stroganoff ryza jasminova,Salat Celozrnny kuskusovy salat
2021-08-04,Alzbetka,Paradajkova s parmezanom,Zemiakovy privarok s dusenymi hovadzim masom a bylinkami chliieb,Pecena btravcova krkovicka so zemiakovou kasou a viedenskou cibulou demi glace,Rucolovy salat s baby mozzarellou cherry paradajky cierne olivy a balsamico dresing,
2021-08-04,Bioland,Eintopf zeleninovo strukovinova polievka alergeny zeler,Zeleninove placky s chia semienkami bylinkovym dipom a salatom alergeny vajce mlieko,Pohankove cestoviny s paradajkovo bazalkovym pestom olivami a baby spenatom alergeny neobsahuje,Raw karobovo bananova torta alergeny orechy,
2021-08-04,BlueBear,Kulajda,Kuraci cernohorsky rezen s pecenymi zemiakmi a tatarskou omackou,Parene buchty plnene dzemom s maslom a kakaom,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
